*Model	Length	63	125	250	500	1k	2k	4k	8k	Free Area (%)	Code	Series	Module Width
17J	3300	-10	-24	-41	-50	-50	-48	-35	-21		nta17J	Fantech AirLay Silencer	175
17K	3600	-11	-25	-45	-50	-50	-50	-38	-22		nta17K	Fantech AirLay Silencer	175
20C	1200	-6	-12	-13	-18	-19	-19	-16	-16		nta20C	Fantech AirLay Silencer	200
20C2	1400	-6	-13	-16	-23	-22	-21	-17	-16		nta20C2	Fantech AirLay Silencer	200
20D	1500	-6	-13	-17	-25	-23	-22	-18	-16		nta20D	Fantech AirLay Silencer	200
20E	1800	-6	-15	-20	-32	-28	-26	-19	-17		nta20E	Fantech AirLay Silencer	200
20F	2100	-7	-16	-24	-37	-34	-29	-22	-18		nta20F	Fantech AirLay Silencer	200
20G	2400	-7	-17	-27	-43	-38	-33	-24	-18		nta20G	Fantech AirLay Silencer	200
20H	2700	-7	-19	-31	-46	-43	-37	-26	-19		nta20H	Fantech AirLay Silencer	200
20I	3000	-7	-20	-34	-50	-47	-40	-29	-19		nta20I	Fantech AirLay Silencer	200
20J	3300	-10	-22	-38	-50	-49	-45	-29	-20		nta20J	Fantech AirLay Silencer	200
20K	3600	-12	-24	-43	-50	-50	-48	-30	-21		nta20K	Fantech AirLay Silencer	200
22C	1200	-6	-11	-12	-17	-16	-18	-14	-14		nta22C	Fantech AirLay Silencer	225
22C2	1400	-6	-12	-14	-21	-19	-20	-15	-14		nta22C2	Fantech AirLay Silencer	225
22D	1500	-6	-12	-15	-23	-21	-21	-16	-14		nta22D	Fantech AirLay Silencer	225
22E	1800	-6	-13	-19	-29	-25	-23	-18	-15		nta22E	Fantech AirLay Silencer	225
22F	2100	-6	-15	-22	-34	-30	-27	-20	-16		nta22F	Fantech AirLay Silencer	225
22G	2400	-6	-16	-26	-40	-35	-30	-22	-16		nta22G	Fantech AirLay Silencer	225
22H	2700	-6	-17	-29	-44	-39	-33	-24	-17		nta22H	Fantech AirLay Silencer	225
22I	3000	-7	-19	-32	-48	-43	-36	-25	-17		nta22I	Fantech AirLay Silencer	225
22J	3300	-8	-20	-35	-50	-45	-39	-28	-18		nta22J	Fantech AirLay Silencer	225
22K	3600	-9	-22	-38	-50	-48	-42	-30	-18		nta22K	Fantech AirLay Silencer	225
25C	1200	-5	-10	-11	-15	-14	-17	-12	-11		nta25C	Fantech AirLay Silencer	250
25C2	1400	-5	-11	-13	-18	-17	-18	-13	-12		nta25C2	Fantech AirLay Silencer	250
25D	1500	-5	-11	-14	-20	-18	-19	-14	-12		nta25D	Fantech AirLay Silencer	250
25E	1800	-6	-12	-17	-26	-21	-21	-16	-13		nta25E	Fantech AirLay Silencer	250
25F	2100	-5	-14	-21	-31	-25	-24	-18	-14		nta25F	Fantech AirLay Silencer	250
25G	2400	-5	-15	-24	-37	-29	-27	-20	-14		nta25G	Fantech AirLay Silencer	250
25H	2700	-6	-16	-27	-42	-33	-30	-21	-15		nta25H	Fantech AirLay Silencer	250
25I	3000	-6	-18	-30	-46	-37	-32	-22	-15		nta25I	Fantech AirLay Silencer	250
25J	3300	-7	-19	-33	-50	-41	-35	-25	-15		nta25J	Fantech AirLay Silencer	250
25K	3600	-8	-21	-37	-50	-45	-39	-27	-16		nta25K	Fantech AirLay Silencer	250
